Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,TwoP,TwoPA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,eFGPercent,FTPercent,TSPercent,WS,G,GS,MP,PER,ThreePAr,FTr,ORBPercent,DRBPercent,TRBPercent,ASTPercent,STLPercent,BLKPercent,TOVPercent,USGPercent,ORtg,DRtg,OWS,DWS,WS,WSperFortyEight,OBPM,DBPM,BPM,VORP
34,Zach Randolph,2014-15,33,MEM,NBA,71,71,32.5,6.4,13.1,6.3,12.8,0.1,0.3,3.2,4.2,3.2,7.4,10.5,2.2,1,0.2,2.2,2.5,16.1,0.487,0.49,0.35,0.491,0.765,0.538,7.2,71,71,2304,19.5,0.021,0.32,11.2,25.8,18.5,11.4,1.6,0.5,12.8,24.3,107,101,3.4,3.8,7.2,0.149,0.4,1.1,1.5,2
63,Kenneth Faried,2014-15,25,DEN,NBA,75,71,27.8,5,9.8,5,9.7,0,0.1,2.7,3.8,3.2,5.7,8.9,1.2,0.8,0.8,1.6,2.8,12.6,0.507,0.511,0.125,0.507,0.691,0.548,5.6,75,71,2086,18.4,0.011,0.391,12.1,22.9,17.3,7.1,1.5,2.1,12,20.3,111,106,3.5,2.1,5.6,0.13,-0.2,0.9,0.8,1.4
256,Dante Cunningham,2014-15,27,NOP,NBA,66,27,25,2.3,5.1,2.3,5,0,0.2,0.4,0.7,1.1,2.8,3.9,0.8,0.7,0.6,0.5,1.5,5.2,0.457,0.468,0.1,0.459,0.617,0.473,1.6,66,27,1652,8.9,0.029,0.139,4.8,12.8,8.8,4.4,1.5,1.7,8.9,10.9,102,108,0.5,1.2,1.6,0.047,-2.6,1,-1.6,0.2
315,Darrell Arthur,2014-15,26,DEN,NBA,58,4,17,2.7,6.6,2.2,4.7,0.4,1.9,0.8,1,0.9,2,2.9,1,0.8,0.4,0.8,2.5,6.6,0.404,0.471,0.236,0.438,0.78,0.466,0.9,58,4,988,11.5,0.286,0.154,5.6,13.4,9.3,9.3,2.4,2.1,10.3,20,97,106,-0.1,0.9,0.9,0.042,-1.8,0.7,-1.1,0.2
109,Robert Covington,2014-15,24,PHI,NBA,70,49,27.9,4.3,10.8,1.9,4.4,2.4,6.4,2.5,3.1,0.9,3.6,4.5,1.5,1.4,0.4,1.8,2.7,13.5,0.396,0.426,0.374,0.506,0.82,0.554,4,70,49,1956,14.7,0.59,0.287,3.4,14.6,8.8,9.8,2.5,1.3,13.1,21.8,104,104,1.6,2.3,4,0.097,0.6,-0.5,0.2,1.1
20,Kevin Love,2014-15,26,CLE,NBA,75,75,33.8,5.5,12.7,3.6,7.5,1.9,5.2,3.4,4.3,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4,0.434,0.48,0.367,0.509,0.804,0.562,8.7,75,75,2532,18.8,0.412,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,115,105,5.8,2.9,8.7,0.165,2,-0.1,1.9,2.5
4,Anthony Davis,2014-15,21,NOP,NBA,68,68,36.1,9.4,17.6,9.4,17.5,0,0.2,5.5,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4,0.535,0.54,0.083,0.536,0.805,0.591,14,68,68,2455,30.8,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,122,100,9.9,4.2,14,0.274,4.2,3,7.1,5.7
477,Cartier Martin,2014-15,30,DET,NBA,23,0,8.6,0.7,2.3,0.4,0.9,0.3,1.4,0,0,0,0.9,0.9,0.5,0.1,0,0.2,0.9,1.6,0.283,0.45,0.182,0.34,,0.34,-0.2,23,0,198,1.6,0.623,0,0,11.4,5.5,8,0.8,0.4,8.6,13,76,110,-0.3,0.1,-0.2,-0.053,-5.5,-1.6,-7.1,-0.3
379,Steve Novak,2014-15,31,TOT,NBA,35,0,5.6,0.6,1.6,0.1,0.2,0.5,1.4,0,0.1,0.1,0.6,0.6,0.3,0,0.1,0.1,0.7,1.8,0.393,0.375,0.396,0.563,0,0.554,0.3,35,0,197,8.6,0.857,0.036,1.1,11.4,6.3,8.6,0,0.8,8.1,14.1,111,111,0.2,0.1,0.3,0.075,-0.2,-3.2,-3.4,-0.1
325,Kendall Marshall,2014-15,23,MIL,NBA,28,3,14.9,1.6,3.6,1,2,0.6,1.6,0.3,0.3,0.1,0.9,1,3.1,0.8,0,1.3,0.9,4.2,0.455,0.509,0.391,0.545,0.889,0.562,0.8,28,3,417,12.4,0.455,0.089,0.6,7.1,3.8,31.1,2.6,0,25,15.1,104,105,0.3,0.5,0.8,0.088,-1.7,-2.4,-4.1,-0.2
