Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,TwoP,TwoPA,ThreeP,ThreePA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FGPercent,TwoPPercent,ThreePPercent,eFGPercent,FTPercent,TSPercent,WS,G,GS,MP,PER,ThreePAr,FTr,ORBPercent,DRBPercent,TRBPercent,ASTPercent,STLPercent,BLKPercent,TOVPercent,USGPercent,ORtg,DRtg,OWS,DWS,WS,WSperFortyEight,OBPM,DBPM,BPM,VORP
35,Kyle Lowry,2014-15,28,TOR,NBA,70,70,34.5,6.1,14.9,4.3,9.3,1.9,5.6,3.6,4.5,0.8,3.9,4.7,6.8,1.6,0.2,2.5,3,17.8,0.412,0.457,0.338,0.476,0.808,0.527,7.1,70,70,2414,19.3,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,110,107,5.1,2,7.1,0.141,4.2,-0.6,3.6,3.4
36,Eric Bledsoe,2014-15,25,PHO,NBA,81,81,34.6,5.8,12.9,4.7,9.6,1.1,3.4,4.4,5.4,0.9,4.3,5.2,6.1,1.6,0.6,3.4,2.3,17,0.447,0.491,0.324,0.489,0.8,0.555,7,81,81,2800,18.4,0.26,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,107,106,4.1,2.9,7,0.119,1.7,0.9,2.6,3.3
37,DeMarre Carroll,2014-15,28,ATL,NBA,70,69,31.3,4.5,9.3,2.8,5,1.7,4.3,1.8,2.6,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,0.487,0.567,0.395,0.579,0.702,0.603,7,70,69,2189,15.9,0.466,0.277,5.3,13.8,9.7,8.3,2.2,0.7,9.3,16.9,117,104,4.3,2.8,7,0.154,2.4,0.5,2.9,2.7
38,Ty Lawson,2014-15,27,DEN,NBA,75,75,35.5,5.4,12.3,4.5,9.6,0.9,2.7,3.5,4.8,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2,0.436,0.463,0.341,0.474,0.73,0.526,7,75,75,2665,18.5,0.221,0.392,1.6,8.1,4.7,43,1.7,0.3,14.6,20.6,113,111,6,1,7,0.126,2.7,-2.1,0.5,1.7
39,Brook Lopez,2014-15,26,BRK,NBA,72,44,29.2,7,13.7,7,13.6,0,0.1,3.1,3.8,3,4.5,7.4,0.7,0.6,1.8,1.4,2.9,17.2,0.513,0.517,0.1,0.513,0.814,0.558,7,72,44,2100,22.7,0.01,0.278,11.5,17.1,14.3,4.5,1.1,4.8,8.6,26.3,112,105,4.7,2.2,7,0.159,0.5,-0.3,0.2,1.1
40,Nikola Vucevic,2014-15,24,ORL,NBA,74,74,34.2,8.5,16.3,8.5,16.2,0,0.1,2.2,2.9,3.2,7.7,10.9,2,0.7,0.7,2,3,19.3,0.523,0.524,0.333,0.524,0.752,0.548,7,74,74,2529,21.5,0.005,0.181,10.4,26,18.1,11,1.1,1.7,10.2,26,109,106,4.5,2.5,7,0.133,0.7,-0.1,0.5,1.6
41,Mike Conley,2014-15,27,MEM,NBA,70,70,31.8,5.6,12.6,4.1,8.6,1.5,4,3.1,3.6,0.4,2.6,3,5.4,1.3,0.2,2.2,2,15.8,0.446,0.473,0.386,0.506,0.859,0.558,6.8,70,70,2225,18.6,0.314,0.282,1.5,9.2,5.4,28,2.1,0.5,13.6,23.7,110,104,4.2,2.7,6.8,0.147,3.2,-0.5,2.7,2.6
42,Goran Dragic,2014-15,28,TOT,NBA,78,78,33.8,6.4,12.8,5.3,9.5,1.2,3.3,2.3,3,1,2.5,3.5,4.5,1,0.2,2.2,2.5,16.3,0.501,0.555,0.347,0.546,0.774,0.577,6.8,78,78,2640,17.4,0.258,0.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,112,110,5.4,1.4,6.8,0.123,2.5,-1.4,1.1,2.1
43,Greg Monroe,2014-15,24,DET,NBA,69,57,31,6.1,12.4,6.1,12.4,0,0,3.7,4.9,3.3,6.9,10.2,2.1,1.1,0.5,2.2,2.1,15.9,0.496,0.496,,0.496,0.75,0.549,6.8,69,57,2137,21.2,0,0.394,11.2,25.1,17.9,11.7,1.9,1.3,13,23.9,110,103,4,2.8,6.8,0.153,0.6,1.3,1.9,2.1
44,Tristan Thompson,2014-15,23,CLE,NBA,82,15,26.8,3.3,6,3.3,6,0,0,1.9,3,3.3,4.7,8,0.5,0.4,0.7,1,2.3,8.5,0.547,0.547,,0.547,0.641,0.58,6.8,82,15,2194,15.6,0,0.508,14.5,19.7,17.2,2.7,0.8,2.2,12.2,14,121,106,4.7,2.1,6.8,0.148,-0.3,-0.3,-0.6,0.8
45,Harrison Barnes,2014-15,22,GSW,NBA,82,82,28.3,3.9,8,2.8,5.4,1.1,2.6,1.3,1.8,1.4,4.1,5.5,1.4,0.7,0.2,0.9,1.8,10.1,0.482,0.519,0.405,0.548,0.72,0.573,6.7,82,82,2318,13.4,0.328,0.229,5.6,15.1,10.5,6.9,1.3,0.6,9,14.9,116,104,3.7,3,6.7,0.139,0.5,0.6,1.1,1.8
46,Khris Middleton,2014-15,23,MIL,NBA,79,58,30.1,5.1,11,3.8,7.6,1.4,3.4,1.7,2,0.6,3.8,4.4,2.3,1.5,0.1,1.4,2.3,13.4,0.467,0.494,0.407,0.53,0.859,0.563,6.7,79,58,2378,15.6,0.308,0.18,2.3,14.3,8.4,12.7,2.6,0.4,10.8,19.9,109,102,3.2,3.5,6.7,0.135,0.9,0.5,1.4,2
47,J.J. Redick,2014-15,30,LAC,NBA,78,78,30.9,5.7,12,3.2,6.2,2.6,5.9,2.3,2.6,0.3,1.9,2.1,1.8,0.5,0.1,1.2,1.7,16.4,0.477,0.515,0.437,0.583,0.901,0.622,6.7,78,78,2409,16.2,0.488,0.216,1,6.6,3.9,9,0.8,0.3,8.5,21,118,111,5.8,0.9,6.7,0.134,3.4,-2.7,0.7,1.6
48,Trevor Ariza,2014-15,29,HOU,NBA,82,82,35.7,4.5,11.1,2.1,4.3,2.4,6.8,1.5,1.7,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8,0.402,0.485,0.35,0.509,0.853,0.539,6.6,82,82,2930,12.7,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,107,103,2.7,3.9,6.6,0.108,0.6,1.3,1.9,2.9
49,Lou Williams,2014-15,28,TOR,NBA,80,0,25.2,4.7,11.6,2.8,6,1.9,5.6,4.3,4.9,0.3,1.6,1.9,2.1,1.1,0.1,1.3,1.3,15.5,0.404,0.464,0.34,0.486,0.861,0.564,6.6,80,0,2016,19.9,0.482,0.426,1.4,7.3,4.3,13.6,2.3,0.4,8.4,27,114,109,5.4,1.1,6.6,0.157,4,-3.1,0.9,1.5
50,Tyler Zeller,2014-15,25,BOS,NBA,82,59,21.1,4.1,7.5,4.1,7.5,0,0,1.9,2.3,1.8,3.9,5.7,1.4,0.2,0.6,0.9,2.5,10.2,0.549,0.549,,0.549,0.823,0.594,6.5,82,59,1731,18.9,0,0.3,9.1,20.5,14.7,10.8,0.5,2.3,9.8,19.6,119,105,4.5,2,6.5,0.179,0.4,0.4,0.9,1.2
51,Enes Kanter,2014-15,22,TOT,NBA,75,74,28.5,6.4,12.4,6.2,11.8,0.2,0.6,2.4,3.1,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5,0.519,0.528,0.356,0.528,0.782,0.564,6.4,75,74,2135,20.3,0.048,0.252,14.6,20.5,17.6,4.8,0.9,1.1,12.3,24.7,111,106,4.3,2.1,6.4,0.145,0.2,-2.3,-2.1,-0.1
52,Ed Davis,2014-15,25,LAL,NBA,79,24,23.3,3.6,5.9,3.6,5.9,0,0,1.2,2.4,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3,0.601,0.601,,0.601,0.487,0.594,6.3,79,24,1840,20,0,0.403,13.3,23.1,18,8.3,1.4,4.3,9.5,14.8,124,107,4.6,1.6,6.3,0.164,1.1,1.9,3,2.3
